node,community
0,215
1,192
2,216
3,208
4,219
5,208
6,216
7,219
8,219
9,219
10,208
11,215
12,218
13,216
14,218
15,216
16,215
17,206
18,218
19,213
20,206
21,219
22,219
23,219
24,215
25,192
26,218
27,206
28,215
29,213
30,213
31,218
32,216
33,192
34,218
35,213
36,218
37,192
38,218
39,216
40,208
41,219
42,218
43,218
44,217
45,192
46,212
47,216
48,217
49,212
50,215
51,219
52,208
53,212
54,218
55,213
56,206
57,217
58,217
59,217
60,216
61,218
62,206
63,217
64,216
65,206
66,217
67,212
68,219
69,215
70,206
71,218
72,208
73,212
74,208
75,217
76,206
77,219
78,219
79,213
80,213
81,208
82,216
83,212
84,208
85,218
86,217
87,206
88,212
89,192
90,215
91,217
92,217
93,215
94,213
95,206
96,206
97,217
98,208
99,218
100,216
101,213
102,208
103,192
104,215
105,192
106,216
107,208
108,219
109,192
110,212
111,219
112,217
113,206
114,212
