node,community
0,1816
1,1
2,1812
3,1812
4,1812
5,1817
6,1812
7,1818
8,1818
9,1818
10,1817
11,1818
12,1818
13,1817
14,1815
15,1817
16,1817
17,1816
18,1817
19,1818
20,1817
21,1817
22,1817
23,1817
24,1817
25,1817
26,1817
27,1817
28,1817
29,1817
30,1817
31,1817
32,1817
33,1817
34,1817
35,1817
36,1817
37,1817
38,1817
39,1817
40,1817
41,1815
42,1817
43,1818
44,1818
45,1817
46,1817
47,1817
48,1817
49,1817
50,1817
51,1817
52,1816
53,1817
54,1812
55,1812
56,1812
57,1812
58,1812
59,1812
60,1815
61,1817
62,1817
63,1812
64,1817
65,1815
66,1817
67,1817
68,1817
69,1817
70,1817
71,1817
72,1817
73,1816
74,1816
75,1817
76,1817
77,1817
78,78
79,1817
80,1817
81,1817
82,1817
83,1817
84,1817
85,1816
86,1817
87,1817
88,1812
89,1812
90,1817
91,1817
92,1817
93,1817
94,1815
95,1815
96,1817
97,1817
98,1817
99,1817
100,1817
101,1817
102,1812
103,1815
104,1815
105,1817
106,1816
107,1817
108,1817
109,1817
110,1817
111,1817
112,1817
113,1817
114,1817
115,1817
116,1817
117,1817
118,1817
119,1817
120,1817
121,1817
122,1815
123,1817
124,1817
125,1817
126,1812
127,1816
128,1815
129,1815
130,130
131,1812
132,1812
133,1817
134,1817
135,1817
136,1817
137,1812
138,1812
139,1817
140,1817
141,1818
142,1817
143,1817
144,1817
145,1817
146,1816
147,1816
148,1815
149,1815
150,1815
151,1817
152,1817
153,1817
154,1817
155,1817
156,1815
157,1815
158,1817
159,1817
160,1817
161,1818
162,1817
163,1817
164,1817
165,1817
166,1817
167,1815
168,1815
169,1817
170,1817
171,1817
172,1815
173,1817
174,1812
175,1812
176,1815
177,1815
178,1815
179,1815
180,1815
181,1815
182,1815
183,1817
184,1817
185,1817
186,1817
187,1816
188,1817
189,1816
190,1817
191,1815
192,1812
193,1812
194,1812
195,1812
196,1815
197,1815
198,1815
199,1815
200,1815
201,1815
202,1817
203,203
204,1815
205,1815
206,1815
207,1815
208,1812
209,1817
210,1817
211,1812
212,1817
213,1818
214,1815
215,1816
216,1817
217,1817
218,1816
219,1817
220,1817
221,1816
222,1816
223,1816
224,1816
225,1816
226,1816
227,227
228,1815
229,1817
230,1817
231,1815
232,1817
233,1817
234,1817
235,1817
236,1817
237,1817
238,1817
239,239
240,1817
241,1817
242,1817
243,1817
244,1817
245,1817
246,1818
247,1818
248,1816
249,1817
250,1816
251,1817
252,1812
253,1816
254,1816
255,1817
256,1817
257,1815
258,1817
259,1817
260,1817
261,1817
262,1815
263,1817
264,1818
265,1818
266,1818
267,1818
268,1816
269,1817
270,1815
271,1812
272,1817
273,1817
274,1817
275,1815
276,1815
277,1815
278,1815
279,1817
280,1815
281,1812
282,1817
283,1817
284,1815
285,1812
286,1812
287,1817
288,1812
289,289
290,1815
291,1815
292,1815
293,1818
294,1815
295,1815
296,1815
297,1816
298,1817
299,1817
300,1817
301,1817
302,1812
303,1812
304,1812
305,1812
306,1817
307,1817
308,1812
309,1816
310,1817
311,1816
312,1816
313,1816
314,1816
315,315
316,1816
317,1816
318,1817
319,319
320,1815
321,1815
322,1817
323,1817
324,1818
325,1817
326,1817
327,1817
328,1817
329,1817
330,1816
331,1816
332,1818
333,1817
334,1817
335,1817
336,1817
337,1817
338,1817
339,1817
340,1817
341,1816
342,1815
343,1815
344,1815
345,1815
346,1815
347,1815
348,1815
349,1815
350,1815
351,1815
352,1815
353,1817
354,1817
355,1817
356,1817
357,1817
358,1818
359,1818
360,1818
361,1817
362,1818
363,1817
364,1817
365,1818
366,1817
367,1817
368,1816
369,1812
370,1817
371,1817
372,1817
373,1812
374,1818
375,1817
376,1815
377,1815
378,1815
379,1815
380,1815
381,1815
382,382
383,383
384,384
385,1815
386,386
387,1815
388,1815
389,1815
390,1815
391,1815
392,1815
393,1815
394,1815
395,1815
396,1815
397,1815
398,398
399,1815
400,1817
401,1815
402,402
403,1815
404,1817
405,1817
406,1818
407,1818
408,1812
409,1817
410,1817
411,1812
412,1812
413,1815
414,414
415,1817
416,1817
417,1817
418,1817
419,1817
420,1817
421,1818
422,1817
423,1817
424,1817
425,1815
426,1815
427,1817
428,1817
429,1817
430,1818
431,1817
432,1817
433,1817
434,1817
435,1816
436,436
437,1817
438,1817
439,439
440,1817
441,1818
442,1817
443,1817
444,1817
445,1817
446,1817
447,1817
448,1817
449,449
450,1817
451,1818
452,1818
453,1817
454,1817
455,1817
456,1817
457,1815
458,1817
459,1816
460,1817
461,1817
462,1812
463,1812
464,1817
465,1816
466,1818
467,1817
468,468
469,1817
470,1817
471,1817
472,472
473,1817
474,1817
475,475
476,1817
477,1817
478,1817
479,479
480,1817
481,1812
482,1817
483,1815
484,1817
485,1817
486,1817
487,1818
488,1818
489,1817
490,1817
491,1817
492,1817
493,1815
494,1817
495,1816
496,1818
497,1817
498,1818
499,1818
500,1818
501,1817
502,1818
503,1818
504,1818
505,505
506,1818
507,1817
508,1817
509,1817
510,1818
511,1815
512,1817
513,1817
514,1817
515,1815
516,1812
517,1812
518,1817
519,1816
520,1812
521,1817
522,1815
523,1815
524,1817
525,1818
526,1815
527,1817
528,1817
529,1818
530,1818
531,1817
532,532
533,1817
534,1817
535,1817
536,1817
537,1816
538,1817
539,539
540,1817
541,1816
542,1815
543,1815
544,1817
545,1817
546,1817
547,1817
548,1817
549,1816
550,1817
551,1817
552,1812
553,1817
554,1817
555,1818
556,1817
557,1817
558,1818
559,1817
560,1816
561,561
562,1815
563,1817
564,1812
565,1818
566,1818
567,1815
568,1815
569,1818
570,1818
571,571
572,1815
573,1818
574,574
575,575
576,576
577,1817
578,578
579,1817
580,580
581,1817
582,1817
583,583
584,584
585,1815
586,586
587,1812
588,1817
589,1817
590,1817
591,1817
592,1817
593,1815
594,594
595,595
596,1817
597,1817
598,1817
599,1812
600,1815
601,1817
602,1818
603,603
604,604
605,1005
606,606
607,1817
608,1818
609,1817
610,1817
611,1817
612,1817
613,1817
614,1816
615,1817
616,1816
617,1817
618,1817
619,1812
620,1815
621,1815
622,622
623,1817
624,1817
625,625
626,626
627,1817
628,628
629,1816
630,630
631,631
632,1815
633,633
634,1812
635,1812
636,636
637,637
638,1817
639,639
640,1817
641,1816
642,1817
643,1817
644,1817
645,1815
646,646
647,1817
648,648
649,1818
650,1816
651,1817
652,1817
653,653
654,1817
655,1817
656,656
657,657
658,658
659,659
660,660
661,1818
662,1817
663,1817
664,1815
665,1812
666,1818
667,1817
668,668
669,1817
670,670
671,1817
672,1818
673,1816
674,1818
675,675
676,676
677,677
678,1817
679,1817
680,680
681,1815
682,682
683,683
684,684
685,1812
686,1817
687,687
688,688
689,1815
690,1817
691,691
692,692
693,693
694,1815
695,1816
696,1816
697,1817
698,1812
699,1818
700,1818
701,701
702,702
703,703
704,704
705,1817
706,1815
707,1818
708,1817
709,709
710,1817
711,711
712,1006
713,1817
714,1815
715,1817
716,1817
717,1816
718,718
719,1815
720,1818
721,1817
722,722
723,1817
724,724
725,1817
726,1816
727,1817
728,1817
729,729
730,1817
731,731
732,732
733,1817
734,1815
735,1817
736,1817
737,1812
738,1812
739,739
740,1817
741,1816
742,1817
743,1812
744,744
745,1816
746,746
747,1817
748,1817
749,749
750,1812
751,1817
752,752
753,1817
754,1818
755,1812
756,1816
757,757
758,1817
759,1816
760,1817
761,761
762,762
763,1817
764,764
765,1818
766,1817
767,767
768,1817
769,769
770,770
771,771
772,772
773,1817
774,774
775,775
776,1815
777,1817
778,1816
779,1815
