node,community
0,1968
1,1968
2,1969
3,1969
4,1969
5,1968
6,1969
7,1961
8,1961
9,1961
10,1968
11,1961
12,1961
13,1968
14,1967
15,1965
16,1968
17,1968
18,1967
19,1877
20,1968
21,1968
22,1968
23,1932
24,1932
25,1932
26,1932
27,1932
28,1968
29,1932
30,1932
31,1932
32,1932
33,1932
34,1932
35,1932
36,1932
37,1932
38,1932
39,1932
40,1932
41,1968
42,1968
43,1961
44,1877
45,1965
46,1965
47,1932
48,1932
49,1968
50,1968
51,1968
52,1967
53,1967
54,1969
55,1969
56,1969
57,1969
58,1969
59,1969
60,1967
61,1968
62,1968
63,1969
64,1968
65,1967
66,1968
67,1968
68,1968
69,1968
70,1968
71,1968
72,1968
73,1968
74,1968
75,1932
76,1932
77,1968
78,1968
79,1968
80,1968
81,1968
82,1968
83,1968
84,1968
85,1968
86,1968
87,1968
88,1969
89,1969
90,1968
91,1968
92,1968
93,1968
94,1967
95,1967
96,1969
97,1965
98,1965
99,1965
100,1965
101,1965
102,1969
103,1967
104,1967
105,1968
106,1968
107,1968
108,1968
109,1968
110,1968
111,1968
112,1968
113,1932
114,1968
115,1968
116,1932
117,1968
118,1968
119,1932
120,1968
121,1968
122,1967
123,1968
124,1965
125,1965
126,1969
127,1968
128,1968
129,1968
130,1967
131,1969
132,1969
133,1968
134,1968
135,1932
136,1932
137,1969
138,1969
139,1965
140,1965
141,1961
142,1968
143,1968
144,1968
145,1968
146,1968
147,1968
148,1967
149,1967
150,1967
151,1932
152,1968
153,1968
154,1968
155,1968
156,1967
157,1967
158,1969
159,1969
160,1968
161,1877
162,1968
163,1968
164,1965
165,1932
166,1968
167,1967
168,1968
169,1968
170,1968
171,1932
172,1968
173,1968
174,1969
175,1969
176,1967
177,1967
178,1967
179,1967
180,1967
181,1967
182,1967
183,1968
184,1968
185,1965
186,1968
187,1968
188,1968
189,1968
190,1968
191,1967
192,1969
193,1969
194,1969
195,1969
196,1967
197,1967
198,1967
199,1967
200,1967
201,1967
202,1967
203,1967
204,1967
205,1967
206,1967
207,1967
208,1969
209,1969
210,1969
211,1969
212,1968
213,1961
214,1967
215,1968
216,1965
217,1968
218,1968
219,1967
220,1968
221,1968
222,1968
223,1968
224,1968
225,1968
226,1968
227,1968
228,1968
229,1968
230,1968
231,1967
232,1968
233,1969
234,1969
235,1969
236,1969
237,1969
238,1969
239,1969
240,1969
241,1969
242,1969
243,1969
244,1969
245,1932
246,1961
247,1961
248,1968
249,1968
250,1967
251,1932
252,1969
253,1968
254,1968
255,1968
256,1968
257,1967
258,1968
259,1968
260,1968
261,1932
262,1967
263,1932
264,1961
265,1961
266,1961
267,1961
268,1968
269,1965
270,1968
271,1969
272,1965
273,1965
274,1965
275,1967
276,1968
277,1967
278,1967
279,1968
280,1968
281,1969
282,1968
283,1968
284,1967
285,1969
286,1969
287,1968
288,1968
289,1967
290,1968
291,1967
292,1967
293,1961
294,1967
295,1967
296,1967
297,1968
298,1968
299,1968
300,1968
301,1968
302,1969
303,1969
304,1969
305,1969
306,1968
307,1968
308,1968
309,1968
310,1968
311,1968
312,1968
313,1968
314,1968
315,1968
316,1968
317,1968
318,1932
319,1969
320,1967
321,1967
322,1965
323,1965
324,1961
325,1968
326,1968
327,1968
328,1968
329,1968
330,1932
331,1877
332,1961
333,1968
334,1965
335,1965
336,1932
337,1932
338,1932
339,1932
340,1968
341,1968
342,1967
343,1967
344,1967
345,1967
346,1967
347,1967
348,1967
349,1967
350,1967
351,1967
352,1967
353,1965
354,1965
355,1968
356,1968
357,1968
358,1961
359,1961
360,1961
361,1932
362,1877
363,1968
364,1968
365,1968
366,1968
367,1968
368,1967
369,1969
370,1932
371,1968
372,1968
373,1968
374,1961
375,1968
376,1967
377,1967
378,1967
379,1967
380,1967
381,1967
382,1967
383,1967
384,1967
385,1967
386,1967
387,1967
388,1967
389,1967
390,1967
391,1967
392,1967
393,1967
394,1967
395,1967
396,1967
397,1967
398,1967
399,1967
400,1968
401,1967
402,1967
403,1967
404,1968
405,1968
406,1961
407,1961
408,1969
409,1968
410,1968
411,1969
412,1969
413,1967
414,414
415,1952
416,1968
417,1932
418,1968
419,1968
420,1968
421,1877
422,1968
423,1932
424,1968
425,1967
426,1968
427,1968
428,1965
429,1965
430,1877
431,1968
432,1968
433,1968
434,1968
435,1968
436,1932
437,1932
438,1932
439,1932
440,1968
441,1961
442,1932
443,1932
444,1932
445,1968
446,1965
447,1965
448,1965
449,449
450,1968
451,1961
452,1961
453,1968
454,1968
455,1932
456,1968
457,1967
458,1968
459,1968
460,1968
461,1965
462,1969
463,1969
464,1968
465,1968
466,1961
467,1968
468,1967
469,1968
470,1932
471,1968
472,1968
473,1968
474,1968
475,1968
476,1968
477,1968
478,1968
479,479
480,1968
481,1969
482,1968
483,1967
484,1968
485,1932
486,1968
487,1961
488,1961
489,1968
490,1968
491,1968
492,1968
493,1968
494,1968
495,1968
496,1961
497,1968
498,1961
499,1961
500,1961
501,1961
502,1961
503,1961
504,1961
505,1961
506,1961
507,1968
508,1968
509,1968
510,1961
511,1968
512,1968
513,1968
514,1968
515,1967
516,1969
517,1969
518,1968
519,1968
520,1969
521,1968
522,1967
523,1967
524,524
525,1961
526,1967
527,1932
528,1969
529,1961
530,1877
531,1968
532,1969
533,1968
534,1967
535,1968
536,1968
537,1968
538,1968
539,1968
540,1968
541,1968
542,1967
543,1968
544,1968
545,1932
546,1968
547,1932
548,1968
549,1968
550,1968
551,1968
552,1969
553,1968
554,1968
555,1961
556,1968
557,1968
558,1961
559,1968
560,1968
561,1969
562,1967
563,1968
564,1969
565,1961
566,1961
567,1967
568,1968
569,1961
570,1961
571,1969
572,1967
573,1961
574,1967
575,1967
576,1968
577,1968
578,1968
579,1965
580,580
581,1968
582,1968
583,1968
584,1968
585,1967
586,1969
587,1969
588,1932
589,1968
590,1932
591,1968
592,1965
593,1967
594,1968
595,1967
596,1968
597,1968
598,1968
599,1969
600,1967
601,1968
602,1961
603,603
604,1969
605,605
606,1968
607,1968
608,1961
609,1932
610,1969
611,1968
612,1968
613,1968
614,1968
615,1968
616,1968
617,1965
618,1965
619,1969
620,1968
621,1967
622,1969
623,1967
624,1968
625,1969
626,1968
627,1968
628,1967
629,1967
630,1969
631,1969
632,1967
633,633
634,1969
635,1969
636,1969
637,1969
638,1968
639,1969
640,1965
641,1968
642,1968
643,1968
644,1969
645,1952
646,1969
647,1968
648,648
649,1961
650,1968
651,1968
652,1968
653,653
654,1968
655,1968
656,1967
657,1965
658,658
659,1967
660,660
661,1961
662,1965
663,1968
664,1968
665,1969
666,1961
667,1968
668,1967
669,1968
670,670
671,1968
672,1961
673,1968
674,1961
675,675
676,1965
677,1967
678,1968
679,1968
680,1967
681,1967
682,1967
683,1969
684,684
685,1969
686,1968
687,1965
688,1968
689,1967
690,1968
691,691
692,1967
693,1968
694,1968
695,1968
696,1968
697,1952
698,1969
699,1961
700,1961
701,1969
702,1968
703,703
704,1968
705,1967
706,1967
707,1961
708,1965
709,1965
710,1968
711,711
712,712
713,1968
714,1968
715,1968
716,1968
717,1968
718,1969
719,1967
720,1961
721,1932
722,1932
723,1968
724,1932
725,1932
726,1968
727,1968
728,1968
729,1961
730,1968
731,731
732,732
733,1968
734,1967
735,1965
736,1968
737,1969
738,1969
739,1968
740,1968
741,1967
742,1968
743,1969
744,744
745,1968
746,746
747,1968
748,1968
749,1967
750,1969
751,1968
752,1968
753,1932
754,1961
755,1969
756,1968
757,1968
758,1968
759,1968
760,1965
761,1967
762,1969
763,1968
764,1968
765,1961
766,1968
767,1968
768,1965
769,1968
770,1965
771,1968
772,772
773,1968
774,1969
775,1968
776,1967
777,1968
778,1877
779,1968
780,1968
781,1967
782,1967
783,1968
784,1969
785,1932
786,1968
787,1968
788,788
789,1968
790,1968
791,1967
792,1968
793,1968
794,1965
795,1932
796,1968
797,797
798,798
799,1968
800,1968
801,1968
802,1968
803,1969
804,1961
805,1961
806,1969
807,1969
808,808
809,1969
810,1968
811,1968
812,1969
813,1967
814,1967
815,1969
816,1932
817,1967
818,1968
819,1965
820,1968
821,1968
822,1967
823,1961
824,1967
825,1968
826,1969
827,1961
828,1968
829,1967
830,1961
831,1968
832,1969
833,1877
834,1968
835,1967
836,1967
837,1968
838,1965
839,1967
840,1967
841,1967
842,1969
843,1967
844,1968
845,1969
846,846
847,1932
848,1968
849,1969
850,1967
851,1936
852,1936
853,1968
854,1969
855,1968
856,1877
857,1968
858,1968
859,1969
860,1932
861,1967
862,1968
863,1969
864,1969
865,1969
866,1969
867,1969
868,1967
869,1967
870,1967
871,1967
872,1968
873,1967
874,1967
875,1968
876,1969
877,1968
878,1932
879,1969
880,1969
881,1969
882,1968
883,1932
884,1969
885,1968
886,1969
887,1968
888,1969
889,1968
890,1968
891,1968
892,1968
893,1961
894,1968
895,1932
896,1968
897,1932
898,1969
899,1969
900,1932
901,1969
902,1968
903,1967
904,1967
905,1968
906,1968
907,1967
908,1967
909,1968
910,1967
911,1968
912,1961
913,1961
914,1932
915,1932
916,916
917,1967
918,1967
919,1932
920,1968
921,1969
922,1877
923,1968
924,1969
925,1932
926,1969
927,1969
928,1969
929,1965
930,1969
931,1969
932,1968
933,1965
934,1968
935,1965
936,1967
937,1965
938,1968
939,1967
940,1968
941,1968
942,1967
943,1967
944,1968
945,1968
946,1968
947,1967
948,1967
949,1969
950,1968
951,1961
952,1968
953,1932
954,1968
955,1967
956,1961
957,1961
958,1968
959,1967
960,1967
961,1967
962,1968
963,1969
964,1932
965,1967
966,1968
967,1961
968,1968
969,1968
970,1968
971,1877
972,1961
973,1877
974,1967
975,1877
976,1932
977,1969
978,1932
979,1968
980,1932
981,1932
982,1969
983,1932
984,1968
985,1967
986,1932
